,user_id,visit_id,visit_duration
50,11JWB9,qyx947t9ee75a72tnymb,112.0
51,YM5LIM,hak37otgmhei7x6b4m5w,100.0
52,NIH6X9,9ejb8fau8oih39c2cyl3,86.0
53,1389UB,dh091wk892judli7f2in,145.0
54,5OYG7V,jgtj6xqjgelcdyk0j95a,74.0
55,5ZQIPO,xi6uwcfccriu7i14u3jn,82.0
56,IFPKAK,vdudwjj1kr4vl1p0kol2,94.0
57,RB5GMK,3ncgpezd7p1m8dweg02t,135.0
58,8O65PV,xdkv7wfsb7uj2qreiezs,65.0
59,XQ1MV8,n3aamtdpnt4dloolxipy,114.0
60,4I082S,1u2f43zhigj9tjk4d8zs,107.0
61,V4WJHY,52rb8i0t01o251h41f4c,99.0
62,3U748B,7ah9h8vpyss90wncou6u,127.0
63,GU7TP3,7uyvz47pksa2hkmtgyde,111.0
64,T47LOV,9086xhwb32d2fxqgp447,115.0
65,MSAN3Q,8n5we576rcc9efiiowsy,106.0
66,371U66,5i78vz7yrmrwkav6qm91,88.0
67,1WIHDX,2d6gpxxtp1ykzbwa4x78,83.0
68,L30I2R,sfp0dxjadgiqakuxh38i,92.0
69,RQ94AB,y3r5ht391ompn2ro97rb,87.0
70,GZW7HC,3uleahyrhchcdf6ec6pa,85.0
71,Y1TZI2,6lln9zu9b5zwgrgrcisr,101.0
72,5YANLC,19637ff2y628emrqs9zz,71.0
73,FSL7VP,o388g4z2mrl0p50ikqst,104.0
74,P2Y0EQ,nxbkjqevwaq3zv93rt24,139.0
75,CKINPX,l6kvcdf4heme5m95xu3h,77.0
76,WK4MJM,jmo9basj5vdubnog238q,117.0
77,FZ19C9,1yjkpt4rs94n6rqw65kz,102.0
78,LJGIX8,7xxme9t4gsid3h6awi99,89.0
79,FICOV9,fv3497hjxka0v4y0f17n,105.0
80,WJSLR4,5haw3inudj4padkcxc8u,127.0
81,8CIDMX,1o6sb24ep2wt8hpakhqi,121.0
82,XE5GOZ,lum36nasonm6oufmn9a6,98.0
83,TIZ4C5,n84mfh8s9fjeaeryuqy4,106.0
84,CVXQYX,x3r5ts2nelku2z56acny,74.0
85,J1BRT8,ub6co7d25hu9mz2rtshm,43.0
86,UAPVUN,qy69a17o0m2ouq0b9z22,108.0
87,HFYD47,hxcrxojpjhzu59d5335w,42.0
88,8BRL40,w2event1vavtj8ce9kb8,105.0
89,3QOBAZ,dd8zpygebh4g6oa4tbul,104.0
90,7C2Z8L,hld8k42ufy1g9orx8tll,86.0
91,T4RACD,c725hicaxlunwseocr8p,113.0
92,NUXANB,2bjcvy1z59yn0tlfbwwl,109.0
93,J3AJU5,vxl7xia0x914is8u3xuq,117.0
94,PQEA8D,ki1utn3mhuesfm4zvzl1,75.0
95,1E7AJ3,13xbey4pi3sdvenwghzs,113.0
96,R3Q7KI,2g6g78uc8ki9ayzl4uia,87.0
97,3CWJV7,gwtua7x54jj9c8nphty9,69.0
98,8CCSX0,21dwa7xoumewdo5hpm7a,109.0
99,CGTADU,yae0l9tuwkjacgmug6xt,81.0
100,AR9V88,bxaubicluz4owsqbox6u,84.0
101,A1UT0C,8h8ikgn5ope2y7a8tmaa,96.0
102,U6UR8Z,q6gcemsqbrexhm6ed9im,100.0
103,90ACVJ,sbf5fsdk8h3nb2ni1pk7,101.0
104,GGUNYU,wiogiqce3ukj8506v4ic,84.0
105,9P30O4,zz6pt7c6q9j7a27mw919,95.0
106,ESC3WP,pjgwlo56y909ovrpt54x,112.0
107,K90A3T,6lmnzfs9xtsnj039ybpy,107.0
108,7EEN1I,ovlwmem5i890niv1p8n0,85.0
109,8W266W,wp176ud09k7lk1gy9ttd,98.0
110,JZE95U,koqwp9ee3lz82naitrav,41.0
111,HLN5EL,9zw5zbd6flmwrdpls443,69.0
112,D0WZUJ,k24ki96u7af3i572ff0e,45.0
113,GUHJ6E,69m6fc2lx1f1uih3qnqv,52.0
114,NU7OOM,9n29jj1zk0ihgl4kef0i,103.0
115,3FIONJ,f7qxfwzvpj5n76o1jqbw,133.0
116,LJAW8O,7vh69rl6ikcu3cx4hjl5,145.0
117,2VT1XZ,4b203o1gw98fv2rx9x2t,79.0
118,T4FDOC,z3ltyx5f0fv7ht99zra4,86.0
119,ZG7LIL,47nc8ugtge9oslh2pww7,75.0
120,V7VO3Z,4mj26ypxj66kivbegnz0,108.0
121,B7QQVB,jqorz7c74erzx4n823eo,74.0
122,I384TJ,s2zko5ozca2raxsf0vh8,148.0
123,EUAANV,2lgqvfoudlu1rhnquisq,109.0
124,RQ94AB,a01c1f8w9uyqo0i7czn8,99.0
125,YA9X8C,estvmp7f0hv0thw41cj9,80.0
126,NNOQIH,v68ges1dmb2g3y6yk90b,79.0
127,YBZPM0,15aebzhcxbta2pw9orbc,103.0
128,D3VR6W,k1ejatabwhj8c28vefh2,108.0
129,QMUC11,ax86t564rhbmv1xdv138,97.0
130,S6B73Q,7vqdu5pgxfg2xpslkkqs,66.0
131,8FSL2Y,rk0jnsmnkjdq8tbvwy51,150.0
132,0KN4UV,lodxap8ncocofn69lv2t,152.0
133,MZ22WH,qep7bg5mkytrolzon310,125.0
134,EYPMBN,tqhvng1dse3m915xkvuu,78.0
135,WUKQ67,pr48h2iv1yiclm0xrgww,117.0
136,YA9X8C,tyq5af8go59e652g1x1j,88.0
137,DL8Y11,npchksq8v34zbr0agkhk,118.0
138,328SXU,rc2mxkmjuzvylq0zmtvm,132.0
139,59WD89,gvsv8wjurus50eyh3t8x,105.0
140,BLOWE4,vs68ov3gbf3r0gt1iltx,121.0
141,EUZ7CA,0km68wjku1t6v06a5u07,121.0
142,EOQNQJ,wm65je9k9r0bss2mzfla,152.0
143,QJBEB6,4p2vncp1ccivgasslsl1,119.0
144,VV6QLQ,tvecd8y4156j7d8fk6ii,109.0
145,D83611,5vxtj370ka9aepvmq3fx,110.0
146,7PADHG,2f681g6ejb6d3qkjk5g7,67.0
147,KNYERS,fb44n55j08htlu4mfwyk,127.0
148,KISIMD,d11wifcicul9j30jkswj,91.0
149,BXWDJ7,40034w04wjt4wewnkq4w,49.0
150,8NY05S,c5nkafvvtxpwy6tyfatu,101.0
151,9KHR4J,xydrqhhudbu8ejazcm11,85.0
152,06CRBI,znazomtmhi3aryrrt2vj,133.0
153,JEK1XD,dzzgv1bb4x22kzcfv7fy,130.0
154,JDHMC5,qn8yze0v12mdju8p3vqk,67.0
155,0WHU6U,d6zq61ikz2a1eev6r0nk,98.0
156,N0HSJA,55dwoj0galm1763u4jbm,91.0
157,FC95NT,00rr3s90clhh5dtxc6ck,91.0
158,1WP8EP,jjtuy74tre4rpampy28u,67.0
159,0Q5Y05,trru12685u58q0w8cde0,126.0
160,EX11ZN,yufjus1xw98dqc9pz2yp,66.0
161,BCH3MQ,u6le009xx3kq6p940v3g,121.0
162,WHPCPG,cqtsovqhppk199rj46n6,116.0
163,DMLDFH,s9ngl2nh1jxf84wqz1zn,98.0
164,F1O7Z0,asw0dk4y8dvvtehqji28,90.0
165,GXTO0A,ahkfycoky76bljt9rzo3,79.0
166,T4Y7FJ,xbaeogotkezz1nv0klsj,89.0
167,YEIAG4,gmi8yo89vs6hzqi38mfl,119.0
168,YUFOM4,v9fmt0ffvf7bfk8putw1,100.0
169,JMTT06,ekp1m51to46vuuz63uy3,97.0
170,EEOUVJ,isez48790oybukgewipe,138.0
171,9KHR4J,bqkjrbp6lhr9lus0x24l,93.0
172,JDHMC5,qsn83iwfrlc4qw2bxw01,71.0
173,51QZJG,i3zwuw63voohldd2li1j,111.0
174,ZOKCFY,6p36tmxai758osrnfo93,77.0
175,P9VSPW,bt1jeyb53p5pvx2e2jfl,152.0
176,1QWQE1,sk5flzdzqqrnxtszm7a3,105.0
177,KISIMD,z5ngy7hxndhd0lkneu56,87.0
178,Q8WXJ3,ay45et558dbt0djbvg6m,56.0
179,1RSZJX,qk73nw6nlbxi96ychygj,125.0
180,JGT3IA,bpuoawws8cjeot9ilgx9,100.0
181,MAJDFV,kvqb9efw0fwyo2avapoi,76.0
182,7TQXTG,syycgwzmy7dkm5l0scjy,118.0
183,JHKVGP,kv2h9ujgkt8b7na291oh,96.0
184,8U81U6,6930zlhw8h3haal3zl40,129.0
185,1NXB05,aszija6ckiv3ezqajobk,73.0
186,VS9Y4W,yayk8em9ya3hctljygpo,116.0
187,GXTO0A,rbk6h3inmtb6tyfcn1yo,64.0
188,8NQQZ3,xzri3r70ve0buj5b7zau,101.0
189,AKIMTR,55a7liwlh1cttfwylp1y,92.0
190,KGIRQ4,5goohrvqfy0hqiaetczh,60.0
191,0U70SR,ji3pwmuy413ngt1jhsk0,106.0
192,88TPTA,hu21xrk7mr701dv712ey,87.0
193,PULAA4,nvncoqhtobzsqpcadhpm,86.0
194,W3RYHD,lkmi8543wjij9cc7ciga,81.0
195,ZAGSJW,kmubbj2oeeng6pohkgcy,137.0
196,NC608V,e4lzemh8u7i3l5hxe0ip,102.0
197,0Q5Y05,q7g2q2cbaap2nb4h8fxd,96.0
198,NXYPF7,b6j1n1e0fdimjr0t111y,112.0
199,ZVTKET,l10vtvqoy27uijlkufyw,92.0
200,12T3TR,0cvnom9t0eiz0m6dfmec,117.0
201,0G5HLQ,wxgqvxadig5on4ynstvt,124.0
202,ICCIDW,h70799z8v0u4z71408mj,114.0
203,1Z9CBD,64mugmelmorfks4spusu,106.0
204,FI5Y69,4xmr2vji9ed75khl08xl,99.0
205,HBYQR8,l9oycbq5u8bkk6355wrm,102.0
206,YYQ3SE,xowkaz66sd2lc6gy33er,73.0
207,KFDHLU,m9xq0rb5ng8380x8ev52,86.0
208,EUAANV,j8s59i79n43al5q2mvcx,89.0
209,ABCNF6,xgl8psztf2v26xs8nrtz,100.0
210,ED67OE,6urud6yf1thgy23p7enu,123.0
211,28B3KY,ejbd2mbjoo7mhyeplrge,100.0
212,VD3VES,4921vq32oj9c2ue67ddg,109.0
213,Q0E1H2,ymx3t265f1207r96ersk,88.0
214,BSOML0,9vj91x4t0h8itguq4la5,116.0
215,9JRGDO,o3hbn0anxj7nbp5j8kyq,122.0
216,3DS7Q1,oks4doe8v3qnmm8k99gc,128.0
217,LSUFNS,7c8su4hbp9x9z5fcthnf,137.0
218,P7HEE4,rbomejqgc0p4ypgzp57k,70.0
219,HNJCE4,i8ncygk45s9xh389a7lm,85.0
220,VS9Y4W,66xwepeuc3x9dra7qltl,96.0
221,M9ZMJX,rmve6ulk71j34wnecrdl,66.0
222,JU90CS,jcyz5oo1zbvfv13ou1wc,74.0
223,QLT71D,o079f9a151cuzfd8mvzg,62.0
224,F9D6AX,oouhftp1pn4gxw83p7uj,91.0
225,GDCBBQ,jwc5za0oa6ws21mpm43c,118.0
226,V5RZ9M,auefhxe02y10mbo4eq9p,167.0
227,94BVMR,1o3ym34qxd6xr3d5aw46,107.0
228,T1WKB3,q4v0xeai5848o9gtc2hw,82.0
229,L30I2R,9ubfcrug0e90uzr2uzqi,93.0
230,HW8XO0,nypbusaybohtxff39flh,145.0
231,DAOQ3B,2e93uw6wd0qsogrv1x8y,66.0
232,XO1SEV,chlk7nwtxqvk17m05ujk,82.0
233,J28R1V,mgao10yrv4upiyer43g9,66.0
234,HO24ZS,cmxl2470bxlke2n0jk10,89.0
235,N4VLVS,hsv9j3oqloke9v5llej0,89.0
236,WUKQ67,pt6ikttwc7ox424zgze7,133.0
237,AFC2LB,kb4j608wp96k6txzp4hs,95.0
238,QFCHJF,t0c8kzqc5iuox1xoodtg,111.0
239,SU2DR0,8fo122faee1iuyrhbtm1,129.0
240,R76FUW,kfm3opd6wngsof62wr4p,46.0
241,GJBX4W,df28tgzw4mcau3ejas92,97.0
242,KHAIRB,6nps7ca9eievhpty4y47,117.0
243,GGPNLF,p2txxd9vs8599unkmjto,84.0
244,PPGQE0,3vjvkpuxwqmzbq46i3xa,132.0
245,RK4DCK,dij9kghxzh46e97rd3sk,74.0
246,VXNYSX,ve5l993l9lk4mxqfhvpq,94.0
247,VFF4Z9,8os7ap6oc0i5yvzu48do,77.0
248,GY9WIB,atbp7gv2wgvyecbgo4bc,112.0
249,UXIGDL,og87t3o2h1qmir2yq72r,108.0
250,GIDMQA,n3k78kob0mi2b3zkj66u,89.0
251,L3TJ2S,fxk3ep7m00vh92xlcons,118.0
252,Q294OZ,w5if8azfksxno8ip8pcu,123.0
253,FAQ2P3,nsposp1iloizlugp8job,104.0
254,ZCHH8Z,bf6b81i5obd43l6ydpwq,79.0
255,9QIY69,0n87sofvudbawluzmz0o,121.0
256,EYV9TQ,339ud8t2croza7ilf92i,84.0
257,LUGVSG,humqh58c8rvmbop2v7ca,116.0
258,EOQNQJ,6mwxugvthrwb4b8t17b2,151.0
259,KC48KK,kjupyyp9qh7df5mjmm69,104.0
260,BYJ635,4d3bsrremgf94ueaf1i4,70.0
261,5JLGBC,oafbekj8qrymhkriuqvh,126.0
262,QFCHJF,7lf91b1cfkexa106jmqb,101.0
263,ZRQR5Q,yxk96m5fxtyudoh9b1r0,109.0
264,8FSL2Y,95713crbkuxlww5nwuol,146.0
265,LFOI6C,ymbvtvoy3kjwmdbxe0vr,101.0
266,QLT71D,nkywm00nehxxzy5eb58b,75.0
267,6JFWHZ,l5sr6pk4mtv1qpv473aw,132.0
268,2PKQIV,w0yax9a9v84oe6apj6qv,107.0
269,0R0OE7,c71zkmphfyjx7o8s0k8s,111.0
270,V40YGX,1w5ocda4grc294m1axef,121.0
271,7OMOQ5,rw81vi7kjhkbvdeokf44,99.0
272,GGUNYU,4ynlpgnkt12rg2uircfw,66.0
273,7K107K,yipxwjh2oem1ajdubuou,95.0
274,MOWQQW,uoh6w82xknrr2oxlrljz,79.0
275,IZHKT9,f8etoqbznzz3c9w0gi5t,114.0
276,BMTLYQ,sj1bn8wbbdm9lfqiy7fe,137.0
277,3KQAVY,soxq3ex1ptnx8fl8ihvo,96.0
278,QZ7YMZ,no2z6vzcbrj63ay60tzm,89.0
279,SAZFEM,azvcjkiuf78h8b45hs3f,143.0
280,5J011C,a5sc5m9dzutvibhd3axk,147.0
281,GPEZV6,biu6plwcjwl8cg8hpmze,101.0
282,JZKXZ3,x520ki69j3l9s6bb9yre,64.0
283,3QOBAZ,okjw741bg7dqd6lx1nd7,97.0
284,GY0800,qhz57eobwnefzd6rlorv,103.0
285,RGBHVW,wjdjposngcgsdy36saj4,133.0
286,0ZPESW,yogjanuvwtiy8lhxoloc,100.0
287,CKXNFC,t8fo055zhzxagbhsgks7,96.0
288,044XWI,o8uaewamg31dbl1q9qy7,112.0
289,AMHS74,8ch1mf3nkefgulhs63vt,80.0
290,X40HR1,ycixq5pb1vin1hdxxb7f,78.0
291,RZ4Q4F,8lbmwgoa07e5macpgsqm,108.0
292,XKAQ7Y,4i49at2hbj3fi9g32o5p,122.0
293,GSTFSD,hejtpijoldg2137n1luh,108.0
294,ZEWT06,4rqcqy5sfdqkzz35wujz,87.0
295,5WECCV,5oe8gsvw02milb1yjh59,153.0
296,31SWNK,tc8ezusict54ed84mrg9,115.0
297,9RBWDX,bctn8euno61oxbx15e83,122.0
298,9Y0RJZ,znk0g3e8eys6xpu8gf6j,66.0
299,QNU4RV,tu8hx15aicye754nqtgl,98.0
300,MZ22WH,vlp3vtfdiulk34r50jce,106.0
301,5OYZ1C,3eiz0k1gvixos09uxmxg,102.0
302,5NZICW,6v1pu1p8dkzetitt3bo5,110.0
303,HLP1Y7,hl79376oqyoef48ctpr6,104.0
304,BP5I0R,uw70hcavfyk03cqkb25g,65.0
305,HOSE4R,xf4lw3244xwnn6mca9oq,123.0
306,G49YDD,cec6yicq3mr2htvvctxq,123.0
307,C9LRF2,6nhxoj4pjs4a05tpvn6b,112.0
308,PULAA4,blz0ioejlnatams4ghn6,121.0
309,ZH0U1A,ivxk2krvtv0lzdk36oiy,128.0
310,XAWXST,osqptmbam0z7n593m81o,45.0
311,TYBONA,vzoqnytx724a0tko3wap,125.0
312,HHXTQ7,xsszhr8afg1xs5zeyyyr,120.0
313,B1ARWC,7rdtsy4fuhfy2ycs0ox4,91.0
314,09CYPR,yki9rfswnw51wuuvf3gf,70.0
315,PI9DMZ,c9kyhcb2orxy3wquqlak,82.0
316,8YKE7E,eem0yst44dn2r71nsfvz,129.0
317,5ZZR9M,bpxvj8qr7frue8jam22u,68.0
318,H7286I,civ4xalqrhiuagcuy3cb,106.0
319,S1L4W4,pv3jlyzpli53puow6qev,104.0
320,YNWM0Y,kbchcjo6q13d4wxb11yk,129.0
321,2ZI0G7,xy12sed71418famnxu17,83.0
322,417I3T,et7pzaoxfutuo4gtwe7l,127.0
323,LJGIX8,ky8tyqtgyarx6mocbsq2,90.0
324,8W266W,8das8f2fos50w2cf3o2w,94.0
325,LNKEJC,mpoj9segp1uv8x3zux88,120.0
326,7XOMKG,jinwwd3z2zia32gkpd3v,83.0
327,M5OSLJ,gdft5ix1qcj2gkli8fcj,102.0
328,8HIVJ6,9a20fmuei49wt1qxny2k,119.0
329,1CWU4M,rinyju2lycsq7xz4qogj,92.0
330,95AMGH,ebwz66i25tcmy8afu0an,104.0
331,9V7F5C,g2g0wggolwf8eyghc459,124.0
332,3EYIIM,r840uong8iktrzfxrqtv,118.0
333,HHXTQ7,u90xaze3mrzo5v2o6n8l,118.0
334,87US2Y,hn1oag0vwgxf92ux9bzh,94.0
335,9DAGL2,r6jwjcsx4dfnkqjf9u95,93.0
336,P8J9O7,zdbvo86di4z2q8s69yj0,69.0
337,4713BH,4vz8jotc721xjxs02a02,130.0
338,F12P9L,m40ym8qyxi8z7qnrnsq1,104.0
339,R620TB,7ve3i6odmqzpwdnkjl8i,126.0
340,PLWYFJ,j6m723zw1w2zh680olx8,76.0
341,6CN38X,6axzqef6hvihga4utgob,47.0
342,VS3QN6,kw1kd7rmxuj5vv320mn3,90.0
343,TS8PRD,46bs4mjr3me384oznyuy,98.0
344,2X0W30,4beehla2t0ygimukno2g,96.0
345,1Y905K,v6sn4qn09wwc295d9d4i,78.0
346,OOMGSY,syc48ogwtakbxqk6rd2y,106.0
347,2ODI87,9xw3q8wun5kfjjiwam2x,95.0
348,J6X5HR,bayc5h4i4edjtai171bt,53.0
349,6K6CD2,sudaiwbqvs0rfehbwpjv,66.0
350,9BI1W2,vojwk1xrmr6lj3qvyr3f,122.0
351,EFWUDJ,id6gj879bnemwuw01m0j,120.0
352,F9YWFK,m5ocuubq0eeqw28s6bzk,76.0
353,ICLT74,ch3algtcxn3prwsgvgb4,114.0
354,DLO26B,pjzzsoeyvn16ffpfke02,116.0
355,2LDFH5,35rj6y91uctmzzw7kn6z,126.0
356,0NBSKT,hw4g4h7ef8f99ixw81uc,134.0
357,DDRRCS,mhwui8cpw5z5h3ws7fed,102.0
358,RS9DQV,bortuy89ubl5kg8gx01k,65.0
359,TEV35B,hcmehdb1cbfulqazrfwd,118.0
360,4OLXAF,qmyh7rttqvj9dfj76nxt,101.0
361,0WHU6U,zeo3yyk11bct3clte511,107.0
362,GU7TP3,nged0ie7qac8ql3v9i8u,95.0
363,DHG87R,oxoksxpok1zyf94vf0lf,82.0
364,FBSTHH,cbdsaujb8of718c1lyb0,85.0
365,5PHUMI,5p2qto2m0qo8axpkua6m,86.0
366,4KSL08,r5relkigm70ncelvrqq5,130.0
367,IO8761,9ts2dxi6mqienbo50z86,77.0
368,EYR9HR,wnlnqyve518y22dgai70,71.0
369,RLFTUN,xkj7z8f0v3kfxqer4ny1,113.0
370,L877UG,ecueukorv966nrg6n414,95.0
371,EW357H,w98wc8e2dmrnvzvwir2a,113.0
372,NLH7O5,86w4849iveaqpnl7a55r,111.0
373,HLN5EL,qnoanlp70qjre8kmh0uq,78.0
374,Z99WN6,iz9tdd5ka3c97dm7cvp3,147.0
375,4W73XK,1qjolz8lvuf4z6llvkx8,76.0
376,4I082S,cqnnelzes516jy92u61v,123.0
377,WE958R,hz75hsq2vsfw76ui4hia,104.0
378,44D6SL,ktycae0o4lb88svmt2to,100.0
379,RT4HS7,3zp9rl5bs3420z1cv9a4,62.0
380,94CFP6,6hk36lidinlmvukfkubw,79.0
381,H3BDHL,p1pgcb58x6lejh9c1kwx,80.0
382,K8D2KK,y23a8m9zb30xnhtyh169,113.0
383,LMMMZ4,7jq7dpksmccij1wejhbg,104.0
384,VLY82I,yr87djlhi7sev8t9sj6r,116.0
385,YNSCLK,m92zm95htzqtk3s8kx0s,99.0
386,A7YDXV,0l42fhy6ukdpthf6z2w9,83.0
387,JDL3SK,jk0db4mvcj32sw09lf2m,95.0
388,YXHK9P,0v6gmc5w4nztq9av1una,124.0
389,3UKLSD,k716e4mllqotikhiwi7m,103.0
390,OH6KW9,cge2q6286pl65bqz9eby,116.0
391,D5VIYT,5yp6ji7feqllfmg02de1,94.0
392,39GCEB,b7csvrpu0o9zoxu68xbv,133.0
393,6KA34A,i1oah2g2vl1nwhf9p9rn,112.0
394,NJK2O1,8474dqmqsirgipi5iv6j,105.0
395,ESC3WP,v4p0vmkf8kgyk6oh4ddm,109.0
396,DVZZEF,5l09b1p8rjnegw3kmy9z,112.0
397,JZE95U,f76vn5qtxrkuuhs9fy0b,49.0
398,2JVVR0,pvbcmfyeblshys9m9cwe,105.0
399,9P30O4,cpraafx5h91bt2hwr20k,78.0
400,1TKZSW,xunvyvbjyl6vpdetmiqt,161.0
401,YR6PCD,0ysgxbvk4f43c2d8qnkm,115.0
402,RIOHY4,bng914qady8s7gz1xdda,93.0
403,DHM3JN,w94k3303qnwak3fqbxaz,103.0
404,M7JTBJ,myircqax4gjle52tjotr,70.0
405,XXIIO7,q9d9lubhhznunne1qij7,116.0
406,RLFTUN,m7dpwtqeehcrv677y4f3,101.0
407,SPA7IW,ffqgwkqma27dotgj73s2,86.0
408,FMEY7N,2s79b78qipp9vrrb8bko,82.0
409,YGG5DT,oxc2ickqlo733krrhmwb,110.0
410,PEUO6T,pntsb3v9vvbda0fd6y59,112.0
411,HS12X7,z70xypo7nd5zgbgc0fg8,75.0
412,N1S0PL,bhzjd6bdaoa2ql8zuck1,73.0
413,EI9SEQ,32si2kkcrqh6dj8dp0jv,94.0
414,YMGJMW,6myh33s8e7dqpv8rjy0x,133.0
415,LIGOV5,tpuzag0wsth4isexfc80,114.0
416,GH8B14,4ksw54skwk2yg1hcdd99,108.0
417,CGD1FU,zxc0pkmta8q2ly36kzrh,122.0
418,XE5GOZ,wa144zp78l1vohp934m3,87.0
419,HYAYTB,vpgunj1toq7bc0ufjj6e,80.0
420,Z99WN6,bh3twrvty4hi13qc64ve,135.0
421,COC5MY,sfryfahaiyp1aa9kgrek,98.0
422,F25H1R,j4u4w52zq1bflcwzm4bg,115.0
423,8BRL40,7qrxgixfsyyw249fpx6u,120.0
424,E6USNU,m1ia4ufa4fo51vhlwhbk,95.0
425,PDD7N3,hmqrd8v6g3u5l23seow2,56.0
426,UY1Z8Y,dq02534ngxqzqbmiskjk,62.0
427,5PHUMI,tpbczkja0f497yatdab4,101.0
428,1KKG26,hes28gah23hhi5pfnlun,87.0
429,2SKW4U,914ib0bm2mk6pjmzptd3,86.0
430,L30I2R,tu49pgpwls5pcaetvh8a,95.0
431,OUSOGL,m262atifyfbgiyzw9ny3,132.0
432,0HZH5P,a93dkt10c9ud56dux7xf,124.0
433,S4RGWE,t99ok3dw1ngnyzhurkf4,102.0
434,Q512P8,6dc1uh8of4bapap4yrwi,68.0
435,Z23SZG,c6j528ryf6ruel40udyi,125.0
436,9BI1W2,4dvncexzc18m8jzikj7c,127.0
437,FAQ2P3,py9qxy5g2zgafcoutus5,96.0
438,F4Q9SN,ik5jnu17hicrf90yej0k,120.0
439,SGKT1Z,iqwafd8rd2mqj2t9uzhk,90.0
440,0Q2YYR,fsunsl1qvjwdnvuh8k51,109.0
441,L3K6OW,aftxhapw32788ro2rewl,80.0
442,XFIOQA,oqi3oimxyxp6zfvjus2v,97.0
443,0U70SR,ecel6tdzl16zdyctxjvq,97.0
444,Z70QYG,iw68srxfbrrv2j530omc,129.0
445,UOJ4XZ,j5b6cvs8wvr9jtziikkd,89.0
446,LCNIRX,3ngf8e590xsz8u80ejle,90.0
447,9UMHZL,1sdprs4bv0sjsegxmi8u,113.0
448,EP3RHH,naqae31zb2s78lj998sq,152.0
449,XIAG1T,gzeqcc57jv3appz3dbqn,117.0
450,MCTL0O,wzqx6w2ysqj51qui30dy,82.0
451,QFHUPC,33hu0wt2q6rk09qdftu4,109.0
452,Y8RP9B,bqme5kv58irrr79b5lfz,96.0
453,DC6RFM,2yjsnnjqxy4u74szef9d,61.0
454,5XD7IS,iqw4wz139ijv58vgkoxd,65.0
455,CVUF5L,f8rg02ew936hzopxeo3q,119.0
456,S05XGL,g7z09nje7zt92ur7j3ha,111.0
457,ELYVH1,5zujdmkl16e82mmgzfil,136.0
458,A7YDXV,hp9w2l88ql70bbefqgie,90.0
